Date ,Tank_Number,Temp_C,DO_mgL,DO_Percent,Conductivity,Salinity,YSI_Temp,mV
8/30/2022,TNK_16,25.135,6.2,90.8,49.7,32.5,25.5,-57.7
8/30/2022,TNK_18,13.097,8.93,104.3,50,32.7,13.2,-57.9
8/30/2022,TNK_SMP,10.006,10.89,116.3,49.9,32.7,10,-58
8/31/2022,TNK_2,13.895,9.73,115.5,50.6,32.9,14,-48.4
8/31/2022,TNK_3,16.613,8.48,106.4,49.9,32.7,16.8,-45.2
8/31/2022,TNK_4,18.609,7.53,98,49.9,32.7,18.7,-49.9
8/31/2022,TNK_5,20.653,7.29,98.5,50.1,32.9,20.7,-45.2
8/31/2022,TNK_6,22.484,6.5,91.1,49.9,32.7,22.6,-51.5
8/31/2022,TNK_7,24.589,6.69,97.7,49.9,32.7,24.7,-49.9
8/31/2022,TNK_8,28.856,5.87,90.4,50.6,33.1,29.1,-43.4
8/31/2022,TNK_9,12.385,9.56,110.1,49.7,32.5,12.6,-51.3
8/31/2022,TNK_10,13.907,8.67,103.2,50,32.8,14,-60.5
8/31/2022,TNK_11,15.98,8.17,101.5,50,32.8,16.1,-61.2
8/31/2022,TNK_12,18.072,7.63,98.5,50,32.8,18.2,-60.8
8/31/2022,TNK_13,20.455,7.54,101.9,49.9,32.7,20.7,-59.6
8/31/2022,TNK_14,23.573,6.91,98.2,50.1,32.8,23.7,-58.9
8/31/2022,TNK_15,25.052,6.31,93.3,49.9,32.7,25.3,-58.7
8/31/2022,TNK_16,25.598,6.34,93.4,50.4,33,25.9,-57.9
8/31/2022,TNK_18,13.106,8.99,107.4,50.2,32.9,14.3,-60.6
8/31/2022,TNK_SMP,10.009,9.62,109.6,50.1,32.8,13.2,-49.2
9/1/2022,TNK_2,13.868,9.83,116.5,50.8,33.3,14,-43.3
9/1/2022,TNK_3,16.899,8.85,111.6,50.1,32.9,16.9,-52
9/1/2022,TNK_4,18.388,7.49,97.3,50.1,32.9,18.5,-41.7
9/1/2022,TNK_5,20.823,7.22,98.2,50.2,33,20.9,-50.5
9/1/2022,TNK_6,22.533,6.47,90.7,50,32.8,22.6,-48.7
9/1/2022,TNK_7,24.468,6.93,100.5,50,32.8,24.6,-47.3
9/1/2022,TNK_8,27.221,5.34,81.9,50.7,33.2,28.3,-48.2
