time,sea_water_temperature,sea_water_temperature_qc_agg,z
UTC,degree_Celsius,,m
2022-08-01T06:13:00Z,20.464,1,0.0
2022-08-01T06:17:00Z,20.5338,1,0.0
2022-08-01T06:21:00Z,20.7222,1,0.0
2022-08-01T06:25:00Z,20.749,1,0.0
2022-08-01T06:29:00Z,20.6273,1,0.0
2022-08-01T06:33:00Z,20.4909,1,0.0
2022-08-01T06:37:00Z,20.4754,1,0.0
2022-08-01T06:41:00Z,20.673,1,0.0
2022-08-01T06:45:00Z,20.6168,1,0.0
2022-08-01T06:49:00Z,20.6338,1,0.0
2022-08-01T06:53:00Z,20.5646,1,0.0
2022-08-01T06:57:00Z,20.5121,1,0.0
2022-08-01T07:01:00Z,20.4808,1,0.0
2022-08-01T07:05:00Z,20.5574,1,0.0
2022-08-01T07:09:00Z,20.6771,1,0.0
2022-08-01T07:13:00Z,20.6451,1,0.0
2022-08-01T07:17:00Z,20.5573,1,0.0
2022-08-01T07:21:00Z,20.5522,1,0.0
2022-08-01T07:25:00Z,20.5739,1,0.0
2022-08-01T07:29:00Z,20.4179,1,0.0
2022-08-01T07:33:00Z,20.3647,1,0.0
2022-08-01T07:37:00Z,20.2562,1,0.0
2022-08-01T07:41:00Z,20.2672,1,0.0
2022-08-01T07:45:00Z,20.0404,1,0.0
2022-08-01T07:49:00Z,19.9922,1,0.0
2022-08-01T07:53:00Z,20.163,1,0.0
2022-08-01T07:57:00Z,20.1598,1,0.0
2022-08-01T08:01:00Z,19.9587,1,0.0
2022-08-01T08:05:00Z,20.1401,1,0.0
2022-08-01T08:09:00Z,20.0085,1,0.0
2022-08-01T08:13:00Z,19.9003,1,0.0
2022-08-01T08:17:00Z,19.971,1,0.0
2022-08-01T08:21:00Z,19.979,1,0.0
2022-08-01T08:25:00Z,19.9133,1,0.0
2022-08-01T08:29:00Z,19.9157,1,0.0
2022-08-01T08:33:00Z,19.7658,1,0.0
2022-08-01T08:37:00Z,19.9411,1,0.0
2022-08-01T08:41:00Z,19.903,1,0.0
2022-08-01T08:45:00Z,19.9421,1,0.0
2022-08-01T08:49:00Z,19.9198,1,0.0
2022-08-01T08:53:00Z,19.8081,1,0.0
2022-08-01T08:57:00Z,20.0042,1,0.0
2022-08-01T09:01:00Z,19.8071,1,0.0
2022-08-01T09:05:00Z,19.9189,1,0.0
2022-08-01T09:09:00Z,19.7774,1,0.0
2022-08-01T09:13:00Z,19.7291,1,0.0
2022-08-01T09:17:00Z,19.6955,1,0.0
2022-08-01T09:21:00Z,19.5516,1,0.0
2022-08-01T09:25:00Z,19.5464,1,0.0
2022-08-01T09:29:00Z,19.6401,1,0.0
2022-08-01T09:33:00Z,19.6374,1,0.0
2022-08-01T09:37:00Z,19.842,1,0.0
2022-08-01T09:41:00Z,19.3395,1,0.0
2022-08-01T09:45:00Z,19.7966,1,0.0
2022-08-01T09:49:00Z,19.7399,1,0.0
2022-08-01T09:53:00Z,19.6895,1,0.0
2022-08-01T09:57:00Z,19.6003,1,0.0
2022-08-01T10:01:00Z,19.6886,1,0.0
2022-08-01T10:05:00Z,19.7484,1,0.0
2022-08-01T10:09:00Z,19.6818,1,0.0
2022-08-01T10:13:00Z,19.9524,1,0.0
2022-08-01T10:17:00Z,19.8992,1,0.0
2022-08-01T10:21:00Z,19.8971,1,0.0
2022-08-01T10:25:00Z,19.7787,1,0.0
2022-08-01T10:29:00Z,19.5912,1,0.0
2022-08-01T10:33:00Z,19.6843,1,0.0
2022-08-01T10:37:00Z,19.7753,1,0.0
2022-08-01T10:41:00Z,20.0374,1,0.0
2022-08-01T10:45:00Z,20.0733,1,0.0
